page,token,lemma,pos
0004,—,—,PUNCT
0004,AD,ad,X
0004,SSL,ssl,X
0004,LUA,lua,X
0004,URES,ures,X
0004,DE,de,X
0004,othe,othe,X
0004,Wie,wie,X
0004,я,я,PRON
0004,*,*,PUNCT
0004,=),=),X
0004,Po,po,X
0004,ae,ae,X
0004,nm,nm,X
0004,кз,кз,PROPN
0004,5,5,NUM
0004,43,43,NUM
0004,5-,5-,NOUN
0004,*,*,PUNCT
0004,—,—,PUNCT
0004,РУ,ру,PROPN
0004,=,=,SYM
0004,va,va,X
