page,token,lemma,pos
0001,MYSTERIUM,mysterium,X
0001,MAGNUM,magnum,X
0001,ТРИСМУГИСТ,трисмугист,PROPN
0001,`,`,PUNCT
0001,И,и,CCONJ
0001,ГЕРМЕТИЧЕСКАЯ,герметическая,PROPN
0001,ТРАДИЦИЯ,традиция,PROPN
0001,ВОСТОКА,востока,PROPN
0001,И,и,CCONJ
0001,ЗАПАДА,запад,PROPN
0001,ГЕРМЕТИЧЕСКИЙ,герметический,PROPN
0001,СВОД,свод,PROPN
0001,-,-,NOUN
0001,ПОЙМАНДР,поймандр,NOUN
0001,ЗЕНИЦА,зеница,PROPN
0001,МИРА,миро,PROPN
0001,АСКЛЕПИЙ,асклепий,PROPN
0001,ФРАГМЕНТЫ,фрагменты,PROPN
0001,СТОБЕЯ,стобея,PROPN
0001,",",",",PUNCT
0001,ЯМВЛИХА,ямвлиха,PROPN
0001,",",",",PUNCT
0001,ЛАКТАНЦИЯ,лактанция,PROPN
0001,ИЗУМРУДНАЯ,изумрудная,PROPN
0001,СКРИЖАЛЬ,скрижаль,PROPN
0001,КОЙРАНИДЫ,койраниды,PROPN
0001,",",",",PUNCT
0001,ТРУТИНА,трутина,PROPN
0001,_,_,PROPN
0001,СТО,сто,PROPN
0001,АФОРИЗМОВ,афоризмов,PROPN
0001,РЕЧИ,речи,PROPN
0001,ГЕРМЕСА,гермеса,PROPN
0001,`,`,PUNCT
0001,ГЕРМЕТИЧЕСКИЕ,герметические,NOUN
0001,ШТУДИИ,штудии,PROPN
0001,ХХ,хх,ADJ
0001,-,-,ADJ
0001,ХХ,хх,ADJ
0001,ВЕКОВ,веков,PROPN
0001,|,|,PUNCT
0001,ГУРМУС,гурмус,PROPN
0001,ТРИСМУГИСТ,трисмугист,PROPN
